,Job-Titles,Department,Salary-interval,Zip
0,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",1990
1,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"79277.47341914715,108966.52658085285",32320
2,CHIEF CONTRACT EXPEDITER,GENERAL SERVICES,"86747.47341914715,116436.52658085285",27180
3,CIVIL ENGINEER IV,WATER MGMNT,"95219.47341914715,124908.52658085285",30560
4,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",1140
5,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,"60155.47341914715,89844.52658085285",2160
6,ELECTRICAL MECHANIC,AVIATION,"81043.47341914715,110732.52658085285",27500
7,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",28630
8,FIRE ENGINEER-EMT,FIRE,"88505.47341914715,118194.52658085285",2490
9,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",28120
10,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",4270
11,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",28230
12,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1240
13,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,"87383.47341914715,117072.52658085285",1460
14,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",31220
15,FIREFIGHTER/PARAMEDIC,FIRE,"76427.47341914715,106116.52658085285",33340
16,ENGINEERING TECHNICIAN VI,WATER MGMNT,"96647.47341914715,126336.52658085285",31410
17,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",2160
18,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",3130
19,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,"81043.47341914715,110732.52658085285",20230
20,CIVIL ENGINEER II,WATER MGMNT,"60155.47341914715,89844.52658085285",28630
21,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",4300
22,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",30620
23,PARAMEDIC I/C,FIRE,"67769.47341914715,97458.52658085285",27350
24,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",7300
25,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",20228
26,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",1150
27,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",31540
28,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",1140
29,SENIOR PROGRAMMER/ANALYST,FAMILY & SUPPORT,"95219.47341914715,124908.52658085285",7310
30,CIVIL ENGINEER IV,WATER MGMNT,"95219.47341914715,124908.52658085285",32600
31,ENGINEERING TECHNICIAN V,TRANSPORTN,"60155.47341914715,89844.52658085285",29400
32,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",1200
33,STUDENT INTERN - MAYOR'S FELLOWS,MAYOR'S OFFICE,"60155.47341914715,89844.52658085285",32140
34,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",3150
35,SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES,OEMC,"60155.47341914715,89844.52658085285",20160
36,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",1190
37,AMBULANCE COMMANDER,FIRE,"114125.47341914715,143814.52658085286",2500
38,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",1200
39,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",33710
40,OPERATING ENGINEER-GROUP C,WATER MGMNT,"78901.07341914716,108590.12658085286",27410
41,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",28260
42,SEWER BRICKLAYER,WATER MGMNT,"78505.87341914714,108194.92658085284",27410
43,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,"86867.47341914715,116556.52658085285",33650
44,PERSONAL COMPUTER OPERATOR III,HEALTH,"60155.47341914715,89844.52658085285",50160
45,FIREFIGHTER-EMT,FIRE,"84479.47341914715,114168.52658085285",1140
46,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",50600
47,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",1550
48,ELECTRICAL MECHANIC,AVIATION,"81043.47341914715,110732.52658085285",3100
49,SENIOR ENVIRONMENTAL INSPECTOR,HEALTH,"69575.47341914715,99264.52658085285",28120
50,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",52400
51,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",29870
52,PLUMBER,WATER MGMNT,"85515.47341914715,115204.52658085285",34520
53,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2820
54,CIVIL ENGINEER II,WATER MGMNT,"77543.47341914715,107232.52658085285",2510
55,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",3250
56,EQUIPMENT DISPATCHER,AVIATION,"60493.07341914716,90182.12658085286",27240
57,CONSTRUCTION LABORER,AVIATION,"68771.47341914715,98460.52658085285",20218
58,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31480
59,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1160
60,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",2000
61,DIVISION SUPERINTENDENT,STREETS & SAN,"102815.47341914715,132504.52658085286",31800
62,MOTOR TRUCK DRIVER,STREETS & SAN,"60305.873419147145,89994.92658085284",31420
63,PRESS AIDE I,MAYOR'S OFFICE,"60155.47341914715,89844.52658085285",33350
64,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",26510
65,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33610
66,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",8230
67,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,"60155.47341914715,89844.52658085285",20117
68,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27290
69,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",20234
70,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",32150
71,FIREFIGHTER,FIRE,"82541.47341914715,112230.52658085285",32300
72,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",1370
73,LIEUTENANT-EMT,FIRE,"106973.47341914715,136662.52658085286",7340
74,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",33880
75,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",32270
76,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32310
77,ASPHALT LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",20133
78,POLICE COMMUNICATIONS OPERATOR II,OEMC,"60155.47341914715,89844.52658085285",29260
79,FIREFIGHTER,FIRE,"78821.47341914715,108510.52658085285",30190
80,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",2810
81,SENIOR PUBLIC INFORMATION OFFICER,BUSINESS AFFAIRS,"78455.47341914715,108144.52658085285",32170
82,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32230
83,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",8600
84,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",6260
85,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",30640
86,PARAMEDIC,FIRE,"60155.47341914715,89844.52658085285",33210
87,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",2300
88,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",26190
89,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",9140
90,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",33760
91,CHIEF ASST CORPORATION COUNSEL,LAW,"112223.47341914715,141912.52658085286",28250
92,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",1110
93,FIREFIGHTER-EMT,FIRE,"84479.47341914715,114168.52658085285",29180
94,PARAMEDIC I/C,FIRE,"67769.47341914715,97458.52658085285",33760
95,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",3420
96,STEAMFITTER,WATER MGMNT,"83955.47341914715,113644.52658085285",32810
97,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",28630
98,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32380
99,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,"81043.47341914715,110732.52658085285",29270
100,FREEDOM OF INFORMATION ACT OFFICER,POLICE,"60155.47341914715,89844.52658085285",32450
101,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",28260
102,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",5150
103,LIBRARY ASSOCIATE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",26160
104,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",30510
105,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",29150
106,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",2490
107,PARKING ENFORCEMENT AIDE,AVIATION,"60155.47341914715,89844.52658085285",4150
108,LABORER,GENERAL SERVICES,"68771.47341914715,98460.52658085285",31110
109,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",50190
110,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,"79679.47341914715,109368.52658085285",20213
111,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",27190
112,BOOTER - PARKING,FINANCE,"60155.47341914715,89844.52658085285",52330
113,FIREFIGHTER,FIRE,"78821.47341914715,108510.52658085285",27190
114,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27160
115,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",20234
116,CUSTODIAL WORKER,AVIATION,"60155.47341914715,89844.52658085285",27410
117,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",7340
118,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",27330
119,FIREFIGHTER/PARAMEDIC,FIRE,"76427.47341914715,106116.52658085285",51220
120,MOTOR TRUCK DRIVER,TRANSPORTN,"60155.47341914715,89844.52658085285",1470
121,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",2190
122,SENIOR COMPANION,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",51290
123,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",7580
124,SPECIAL EVENTS COORD III,CULTURAL AFFAIRS,"70163.47341914715,99852.52658085285",8800
125,LIBRARIAN II,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",31290
126,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,"60155.47341914715,89844.52658085285",29270
127,CLINICAL THERAPIST III,POLICE,"85931.47341914715,115620.52658085285",27930
128,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",30320
129,ASPHALT LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",31370
130,DATA ENTRY OPERATOR,WATER MGMNT,"60155.47341914715,89844.52658085285",2140
131,POLICE ADMINISTRATIVE CLERK,POLICE,"60155.47341914715,89844.52658085285",30140
132,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",1500
133,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",32150
134,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",6750
135,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,"65723.47341914715,95412.52658085285",7610
136,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",8000
137,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",26150
138,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",27380
139,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",29550
140,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32110
141,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",2480
142,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",20137
143,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",29380
144,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",33430
145,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",26400
146,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",4240
147,ACCOUNTING TECHNICIAN II,COMMUNITY DEVELOPMENT,"60155.47341914715,89844.52658085285",27240
148,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",3150
149,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",32200
150,WATCHMAN,GENERAL SERVICES,"60155.47341914715,89844.52658085285",9400
151,PROGRAM AUDITOR II,COMMUNITY DEVELOPMENT,"60155.47341914715,89844.52658085285",29800
152,LEGAL SECRETARY,LAW,"69575.47341914715,99264.52658085285",20200
153,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",4220
154,SR PROCUREMENT SPECIALIST,PROCUREMENT,"60155.47341914715,89844.52658085285",51460
155,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",29800
156,PLUMBING INSPECTOR,BUILDINGS,"87665.47341914715,117354.52658085285",27440
157,VENTILATION AND FURNACE INSPECTOR,BUILDINGS,"81813.07341914716,111502.12658085286",28120
158,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",2110
159,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",32120
160,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",7600
161,LIBRARIAN IV,PUBLIC LIBRARY,"85931.47341914715,115620.52658085285",50490
162,SUPVSR OF COMPENSATION,BUSINESS AFFAIRS,"78455.47341914715,108144.52658085285",28700
163,CIVIL ENGINEER IV,TRANSPORTN,"95219.47341914715,124908.52658085285",28120
164,PUBLIC HEALTH ADMINISTRATOR I,HEALTH,"62087.47341914715,91776.52658085285",33680
165,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",31530
166,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",31110
167,ACCOUNTING TECHNICIAN I,FINANCE,"60155.47341914715,89844.52658085285",3140
168,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"79679.47341914715,109368.52658085285",32420
169,CONCRETE LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",51210
170,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",26770
171,LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",26200
172,LIBRARY ASSOCIATE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",9190
173,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,"101891.47341914715,131580.52658085286",25640
174,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",20290
175,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",2850
176,SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL,HEALTH,"62639.47341914715,92328.52658085285",28200
177,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",27110
178,DEPUTY COMMISSIONER,BUSINESS AFFAIRS,"107747.47341914715,137436.52658085286",32350
